topic,rank,prob,frex,lift,score
20,8,dobro,đakovačko-osječki,nepotrebna,izbornik
20,9,hvala,govori,skroman,srca
20,10,srca,isus,suvišan,đuro
20,11,svojim,srca,biblije,budem
20,12,posebno,boga,budemo,svima
20,13,uvijek,zna,đuro,zlatko
20,14,svima,znači,hranić,života
20,15,rekao,ime,onom,gospa
21,1,fra,fra,franjevačka,fra
21,2,linić,linić,kuletin,linić
21,3,veljače,zvjezdan,otkupitelja,zvjezdan
21,4,zvjezdan,gvardijan,pastoralni,svilnom
21,5,svetišta,franjevačke,sjemenište,gvardijan
21,6,gvardijan,pastoralni,svilnom,gospinog
21,7,milosti,franjevačkom,ulicom,svjetovnom
21,8,samostana,posvetio,linić,pastoralni
21,9,život,svilnom,zvjezdan,svećenički
21,10,rođen,marinko,adventsku,franjevačke
21,11,franjevačke,vukman,fra,franjevačkom
21,12,trsatu,samostana,frankopanskim,milosti
21,13,majke,otkupitelja,franjevačke,vukman
21,14,ante,svjetovnom,franjevačkom,mladima
21,15,mladima,milosti,krunoslav,posvetio
22,1,tijekom,odbijen,vojskom,između
22,2,između,između,vraćeno,izložba
22,3,oko,ponoći,duži,odbijen
22,4,izložba,vozila,gora,rad
22,5,rad,rad,govorila,alkarskih
22,6,sinja,duži,hini,zahtjev
22,7,otvorena,objekata,krađe,tijekom
22,8,grada,policijski,kriminalističko,ponoći
22,9,svijet,izložba,matičnih,ugostiteljima
22,10,alkarskih,omogući,objekata,sinja
22,11,došlo,pomoćnica,odbijen,omogući
22,12,slika,tamošnjim,omogući,policijski
22,13,knjiga,ugostiteljskih,osmanskom,zoni
22,14,splita,knjiga,pomoćnica,tamošnjim
22,15,vozila,ugostiteljima,produženim,ugostiteljskih
23,1,ninu,ninu,057info,nin
23,2,nin,zečeva,lucky,ninu
23,3,nina,sunca,ninsku,nina
23,4,grad,anselma,ptica,zečeva
23,5,zadarske,zadarske,race,zadarske
23,6,hrvatski,nin,zečevo,sunca
23,7,hrvatskoj,cro,ninu,svjetlosti
23,8,grada,kraljevskom,biciklističke,kraljevskom
23,9,hrvatska,svjetlosti,cro,ninske
23,10,zečeva,ptica,gospinih,anselma
23,11,zadar,race,grgura,zadar
23,12,hrvatske,grgura,kraljevskog,lucky
23,13,gradu,ninske,kraljevskom,ninskog
23,14,križa,ninskog,ninskoj,kraljevski
23,15,sunca,plaža,partneri,povr
24,1,sinja,kraja,ručnog,sinja
24,2,kraja,cetinskog,alkaricu,cetinskog
24,3,portal,web,delmata,web
24,4,cetinskog,cetinske,dežurne,kraja
24,5,web,krajine,dragog,portal
24,6,sinj,rodbini,edukativna,rodbini
24,7,grada,napovijedi,izvorno,javljamo
24,8,cetinske,tužnim,laberije,bulj
24,9,bulj,portal,lončarstva,cetinske
24,10,krajine,rođ,lončarstvo,napovijedi
24,11,gradonačelnik,ženidbene,napovijedi,krajine
24,12,miro,voljeni,napustila,znancima
24,13,javljamo,sinja,nezaposleni,miro
24,14,rodbini,alkaricu,nezaposlenim,prijateljima
24,15,prijateljima,srcem,nezaposlenima,sinj
25,1,krvi,krvi,krv,kristove
25,2,kristove,kristove,misionara,krvi
25,3,ludbregu,ludbregu,krvi,ludbregu
25,4,duhovne,ludbreg,bulom,predragocjene
25,5,susret,predragocjene,kristove,ludbreg
25,6,nedjelje,krv,ludbreg,duhovne
25,7,ludbreg,ludbreške,ludbreške,ludbreške
25,8,svetišta,duhovne,ludbreško,nedjelje
25,9,svetište,nedjelje,medicinskog,krv
25,10,svetištu,ludbreško,petanjak,ludbreško
25,11,predragocjene,maloga,predragocjene,susret
25,12,baštine,susret,pričesti,marijanskih
25,13,marijanskih,marijanskih,služavke,misionara
25,14,obitelji,kongres,služavki,maloga
25,15,svete,obnove,zavjetnoj,baštine
26,1,zajednica,turistička,antona,općina
26,2,općina,općina,bogatim,turistička
26,3,turistička,stubica,doseljenja,zajednica
26,4,području,antona,lijepom,području
26,5,grad,križ,moto,stubica
26,6,suradnji,radovi,oroslavje,radovi
26,7,projekt,eura,ravnomjerni,projekt
26,8,županije,muzića,samouprave,natječaj
26,9,radovi,zajednica,toplice,začretje
26,10,područja,lijepom,bedekovčina,čačinci
26,11,županija,sredstva,izrazito,javni
26,12,poziva,čačinci,križ,antona
26,13,eura,konjščina,muzića,konjščina
26,14,poziv,donja,obrtnika,muzića
26,15,kuna,regionalni,planinarskom,eura
27,1,gospe,velike,blaženici,gospe
27,2,sinjske,gospe,velike,sinjske
27,3,velike,proslava,grenc,velike
27,4,svetištu,blagdana,karin,čudotvorne
27,5,blagdan,male,tristotu,svetištu
27,6,blagdana,čudotvorne,uđimo,blagdan
27,7,svetište,sinjske,uočnicu,blagdana
27,8,čudotvorne,duhovna,vela,vjernika
27,9,kolovoza,sveci,ramu,proslava
27,10,svetišta,najvećem,sveci,svetište
27,11,proslava,proslave,bogoslužje,duhovna
27,12,vjernika,bogoslužja,uočnica,vepric
27,13,male,blaženici,postom,male
27,14,ove,mjesečna,bogoslužja,vepricu
27,15,hodočasnika,uočnicu,blaženoj,svetišta
28,1,majci,stepinca,devetnicu,majci
28,2,put,alojzija,djevo,božjoj
28,3,stepinca,zahvalnost,iskazujemo,bistričkoj
28,4,bistričkoj,molitvama,pobožno,stepinca
28,5,božjoj,pomoćni,pomoćni,alojzija
28,6,alojzija,tvoju,stepinca,pripravna
28,7,molitva,pobožnost,svakodnevna,devetnica
28,8,biskup,majko,svijećama,iskazujemo
28,9,crkve,iskazujemo,tvoju,utječemo
28,10,ivan,utječemo,utječemo,majčinsku
28,11,otvorenom,majci,velikogoričkih,pobožno
28,12,gospi,otvorenom,vinskog,molitva
28,13,čast,devetnicu,zahvalnost,devetnicu
28,14,devetnica,svijećama,zaštitnici,majko
28,15,pobožnost,bistričkoj,alojzija,molitvama
29,1,marije,marije,korupcije,marije
29,2,blagdan,djevice,pobijediti,blažene
29,3,djevice,blažene,znao,djevice
29,4,blažene,uznesenja,djevice,bistrice
29,5,bistrice,bistrice,uznesenja,uznesenja
29,6,slavi,svetištima,angažman,blagdan
29,7,uznesenja,slavi,društveni,svetkovina
29,8,svetkovina,rođenja,državnih,gospu
29,9,svetišta,slave,ilači,marijanska
29,10,gospu,svetkovina,intenzivniji,slavi
29,11,svake,marijanska,koruge,rođenja
29,12,veliku,nebo,marije,korupcije
29,13,rođenja,svake,nadati,svetišta
29,14,marijanska,malu,počevši,potjeri
29,15,svečano,diljem,služenje,virus
30,1,sati,misa,krunica,misa
30,2,misa,uživo,laudato,sveta
30,3,mise,krunica,ltv,mise
30,4,sveta,mise,misa,sati
30,5,župa,laudato,služena,uživo
30,6,svete,sveta,visokoj,krunica
30,7,uživo,raspored,zornica,laudato
30,8,bit,blagoslov,slavit,svete
30,9,svetišta,prijenos,uživo,ltv
30,10,raspored,polazak,devetnice,raspored
30,11,blagoslov,župa,ispovijedi,župa
30,12,krunica,ispovijedi,misama,blagoslov
30,13,nedjelja,sati,uzvišenja,prijenos
30,14,križa,nedjelja,raspored,krunice
30,15,laudato,prijatelji,mise,svetišta
