destination,topic,mean_theta,overall_mean,above_avg
sinj,1,0.00735063391663705,0.0669865113916702,FALSE
marija_bistrica,1,0.00533214749562022,0.0669865113916702,FALSE
vocin,1,0.12386627297936,0.0669865113916702,TRUE
nin,1,0.0258268480912707,0.0669865113916702,FALSE
krasno,1,0.467526622869469,0.0669865113916702,TRUE
ludbreg,1,0.00529313133473355,0.0669865113916702,FALSE
trsat,1,0.00455874561111565,0.0669865113916702,FALSE
aljmas,1,0.0275375224612155,0.0669865113916702,FALSE
solin,1,0.00216931696021989,0.0669865113916702,FALSE
vepric,1,0.00040387219706005,0.0669865113916702,FALSE
sinj,2,0.00936988977152918,0.0192171423690377,FALSE
marija_bistrica,2,0.0946731660715353,0.0192171423690377,TRUE
vocin,2,0.0521094582017457,0.0192171423690377,TRUE
nin,2,0.00289784273575292,0.0192171423690377,FALSE
krasno,2,0.00334954115246461,0.0192171423690377,FALSE
ludbreg,2,0.0104978253652337,0.0192171423690377,FALSE
trsat,2,0.00290141497915928,0.0192171423690377,FALSE
aljmas,2,0.00696883769053117,0.0192171423690377,FALSE
solin,2,0.00919775307859684,0.0192171423690377,FALSE
vepric,2,0.000205694643828661,0.0192171423690377,FALSE
sinj,3,0.0240763530663858,0.0584058023045798,FALSE
marija_bistrica,3,0.023410006849092,0.0584058023045798,FALSE
vocin,3,0.014154601736101,0.0584058023045798,FALSE
nin,3,0.0450384933334667,0.0584058023045798,FALSE
krasno,3,0.0410496304251638,0.0584058023045798,FALSE
ludbreg,3,0.027736034799724,0.0584058023045798,FALSE
trsat,3,0.0271378243456676,0.0584058023045798,FALSE
aljmas,3,0.338346401205103,0.0584058023045798,TRUE
solin,3,0.0261377958720814,0.0584058023045798,FALSE
vepric,3,0.0169708814130129,0.0584058023045798,FALSE
sinj,4,0.0633108767330962,0.0230651069599464,TRUE
marija_bistrica,4,0.0186863804034161,0.0230651069599464,FALSE
vocin,4,0.00652428247517273,0.0230651069599464,FALSE
nin,4,0.0322674533919812,0.0230651069599464,TRUE
krasno,4,0.0241054610849116,0.0230651069599464,FALSE
ludbreg,4,0.0182639802809839,0.0230651069599464,FALSE
trsat,4,0.014333331119451,0.0230651069599464,FALSE
aljmas,4,0.0251806824050299,0.0230651069599464,FALSE
solin,4,0.0180662416393315,0.0230651069599464,FALSE
vepric,4,0.00991238006608955,0.0230651069599464,FALSE
sinj,5,0.0233599704403239,0.0348027121241135,FALSE
marija_bistrica,5,0.0160764575280851,0.0348027121241135,FALSE
vocin,5,0.010501448639261,0.0348027121241135,FALSE
nin,5,0.0400961287814826,0.0348027121241135,FALSE
krasno,5,0.0553487168924208,0.0348027121241135,TRUE
ludbreg,5,0.0209997241937736,0.0348027121241135,FALSE
trsat,5,0.0170112441002688,0.0348027121241135,FALSE
aljmas,5,0.0266662810694952,0.0348027121241135,FALSE
solin,5,0.0671861166399075,0.0348027121241135,TRUE
vepric,5,0.0707810329561165,0.0348027121241135,TRUE
sinj,6,0.0116025104779333,0.0335019019997271,FALSE
marija_bistrica,6,0.186193507381561,0.0335019019997271,TRUE
vocin,6,0.0405110478078913,0.0335019019997271,TRUE
nin,6,0.0164030035680097,0.0335019019997271,FALSE
krasno,6,0.00730760811587536,0.0335019019997271,FALSE
ludbreg,6,0.0304725689207286,0.0335019019997271,FALSE
trsat,6,0.0167937071411947,0.0335019019997271,FALSE
aljmas,6,0.00733401187966485,0.0335019019997271,FALSE
solin,6,0.00609405629536622,0.0335019019997271,FALSE
vepric,6,0.0123069984090452,0.0335019019997271,FALSE
sinj,7,0.00302908837557452,0.0160661832193615,FALSE
marija_bistrica,7,0.131047146487615,0.0160661832193615,TRUE
vocin,7,0.00174911198824654,0.0160661832193615,FALSE
nin,7,0.00347161853972006,0.0160661832193615,FALSE
krasno,7,0.00358972668595296,0.0160661832193615,FALSE
ludbreg,7,0.0079859896654049,0.0160661832193615,FALSE
trsat,7,0.00446927063312983,0.0160661832193615,FALSE
aljmas,7,0.00361689692220983,0.0160661832193615,FALSE
solin,7,0.000828338857097534,0.0160661832193615,FALSE
vepric,7,0.000874644038664327,0.0160661832193615,FALSE
sinj,8,0.00169102968133618,0.0437227708602733,FALSE
marija_bistrica,8,0.00283517356100477,0.0437227708602733,FALSE
vocin,8,0.319598277027932,0.0437227708602733,TRUE
nin,8,0.000752736617554532,0.0437227708602733,FALSE
krasno,8,0.00165195402381606,0.0437227708602733,FALSE
ludbreg,8,0.00486057528604707,0.0437227708602733,FALSE
trsat,8,0.00107963725286328,0.0437227708602733,FALSE
aljmas,8,0.103552760911001,0.0437227708602733,TRUE
solin,8,0.000812727499859019,0.0437227708602733,FALSE
vepric,8,0.000392836741319909,0.0437227708602733,FALSE
sinj,9,0.00273925075035094,0.0407762197275598,FALSE
marija_bistrica,9,0.00165874593489174,0.0407762197275598,FALSE
vocin,9,0.000769931174040734,0.0407762197275598,FALSE
nin,9,0.001072407660625,0.0407762197275598,FALSE
krasno,9,0.0157106987053988,0.0407762197275598,FALSE
ludbreg,9,0.000569938086497747,0.0407762197275598,FALSE
trsat,9,0.20994998956277,0.0407762197275598,TRUE
aljmas,9,0.00377856810083936,0.0407762197275598,FALSE
solin,9,0.000377306290355087,0.0407762197275598,FALSE
vepric,9,0.171135361009828,0.0407762197275598,TRUE
sinj,10,0.024264930148197,0.0354007753159824,FALSE
marija_bistrica,10,0.00449097801244447,0.0354007753159824,FALSE
vocin,10,0.00229240327076093,0.0354007753159824,FALSE
nin,10,0.0469212792484781,0.0354007753159824,TRUE
krasno,10,0.00106936560839589,0.0354007753159824,FALSE
ludbreg,10,0.00920515842802275,0.0354007753159824,FALSE
trsat,10,0.021911467414732,0.0354007753159824,FALSE
aljmas,10,0.0060409040699168,0.0354007753159824,FALSE
solin,10,0.230525602711458,0.0354007753159824,TRUE
vepric,10,0.0072856642474181,0.0354007753159824,FALSE
sinj,11,0.0973022687675988,0.0202055960265084,TRUE
marija_bistrica,11,0.0023493487462703,0.0202055960265084,FALSE
vocin,11,0.00307461092077171,0.0202055960265084,FALSE
nin,11,0.000705968998834722,0.0202055960265084,FALSE
krasno,11,0.0159541382735029,0.0202055960265084,FALSE
ludbreg,11,0.0473870778816581,0.0202055960265084,TRUE
trsat,11,0.0213954741985409,0.0202055960265084,FALSE
aljmas,11,0.0102910905953211,0.0202055960265084,FALSE
solin,11,0.00183741162393937,0.0202055960265084,FALSE
vepric,11,0.00175857025864626,0.0202055960265084,FALSE
sinj,12,0.0199580470712795,0.0345217265366256,FALSE
marija_bistrica,12,0.0145718696975421,0.0345217265366256,FALSE
vocin,12,0.0158577901199574,0.0345217265366256,FALSE
nin,12,0.191254578643548,0.0345217265366256,TRUE
krasno,12,0.0109062637274697,0.0345217265366256,FALSE
ludbreg,12,0.0165586600305635,0.0345217265366256,FALSE
trsat,12,0.014803196654228,0.0345217265366256,FALSE
aljmas,12,0.018761551950217,0.0345217265366256,FALSE
solin,12,0.0368328197781354,0.0345217265366256,FALSE
vepric,12,0.00571248769331585,0.0345217265366256,FALSE
sinj,13,0.102958312105666,0.0164940266615804,TRUE
marija_bistrica,13,0.00388437879005046,0.0164940266615804,FALSE
vocin,13,0.00258945019254389,0.0164940266615804,FALSE
nin,13,0.0106751345467964,0.0164940266615804,FALSE
krasno,13,0.00929595226965599,0.0164940266615804,FALSE
ludbreg,13,0.00278764110858791,0.0164940266615804,FALSE
trsat,13,0.0052225885782316,0.0164940266615804,FALSE
aljmas,13,0.00324869311928111,0.0164940266615804,FALSE
solin,13,0.0221614943317647,0.0164940266615804,TRUE
vepric,13,0.00211662157322579,0.0164940266615804,FALSE
sinj,14,0.00655155513914823,0.0250983969453847,FALSE
marija_bistrica,14,0.0185547878559278,0.0250983969453847,FALSE
vocin,14,0.00997231577575798,0.0250983969453847,FALSE
nin,14,0.0159464599720191,0.0250983969453847,FALSE
krasno,14,0.0107580906516986,0.0250983969453847,FALSE
ludbreg,14,0.00293906648334591,0.0250983969453847,FALSE
trsat,14,0.0151862301056825,0.0250983969453847,FALSE
aljmas,14,0.089359311954206,0.0250983969453847,TRUE
solin,14,0.0802570916225288,0.0250983969453847,TRUE
vepric,14,0.0014590598935317,0.0250983969453847,FALSE
sinj,15,0.00328307467779445,0.0240931762638934,FALSE
marija_bistrica,15,0.184054184032497,0.0240931762638934,TRUE
vocin,15,0.00205855307672042,0.0240931762638934,FALSE
nin,15,0.00128366683207723,0.0240931762638934,FALSE
krasno,15,0.0207492831581034,0.0240931762638934,FALSE
ludbreg,15,0.0039046586779375,0.0240931762638934,FALSE
trsat,15,0.00744580910287401,0.0240931762638934,FALSE
aljmas,15,0.00409992747902998,0.0240931762638934,FALSE
solin,15,0.00157395645115522,0.0240931762638934,FALSE
vepric,15,0.0124786491507445,0.0240931762638934,FALSE
sinj,16,0.0194298459535567,0.0586216174000382,FALSE
marija_bistrica,16,0.0234172499712565,0.0586216174000382,FALSE
vocin,16,0.0491342769854218,0.0586216174000382,FALSE
nin,16,0.0240150827675153,0.0586216174000382,FALSE
krasno,16,0.0823075064639326,0.0586216174000382,TRUE
ludbreg,16,0.0497194970698248,0.0586216174000382,FALSE
trsat,16,0.0138132979624686,0.0586216174000382,FALSE
aljmas,16,0.0103668802302488,0.0586216174000382,FALSE
solin,16,0.203960224965639,0.0586216174000382,TRUE
vepric,16,0.110052311630518,0.0586216174000382,TRUE
sinj,17,0.0133971989419514,0.0448715571165456,FALSE
marija_bistrica,17,0.0103480165503729,0.0448715571165456,FALSE
vocin,17,0.00768023726608823,0.0448715571165456,FALSE
nin,17,0.024663647452266,0.0448715571165456,FALSE
krasno,17,0.0144226641266841,0.0448715571165456,FALSE
ludbreg,17,0.00440001411527252,0.0448715571165456,FALSE
trsat,17,0.244283692041212,0.0448715571165456,TRUE
aljmas,17,0.00847705645964257,0.0448715571165456,FALSE
solin,17,0.120644216574565,0.0448715571165456,TRUE
vepric,17,0.000398827637401796,0.0448715571165456,FALSE
sinj,18,0.0447217796568662,0.0244355943181015,TRUE
marija_bistrica,18,0.00337890302965047,0.0244355943181015,FALSE
vocin,18,0.0433444229854891,0.0244355943181015,TRUE
nin,18,0.0160685150522102,0.0244355943181015,FALSE
krasno,18,0.00363999508978443,0.0244355943181015,FALSE
ludbreg,18,0.00127407604585074,0.0244355943181015,FALSE
trsat,18,0.117714693736359,0.0244355943181015,TRUE
aljmas,18,0.00837213347743504,0.0244355943181015,FALSE
solin,18,0.00465982800141391,0.0244355943181015,FALSE
vepric,18,0.00118159610595549,0.0244355943181015,FALSE
sinj,19,0.0157846730660999,0.0266640394585044,FALSE
marija_bistrica,19,0.00730717978376495,0.0266640394585044,FALSE
vocin,19,0.141239209468252,0.0266640394585044,TRUE
nin,19,0.0339891331817738,0.0266640394585044,TRUE
krasno,19,0.00262963718177216,0.0266640394585044,FALSE
ludbreg,19,0.00380412255485571,0.0266640394585044,FALSE
trsat,19,0.00366049369640755,0.0266640394585044,FALSE
aljmas,19,0.0478490272105992,0.0266640394585044,TRUE
solin,19,0.00584474794613066,0.0266640394585044,FALSE
vepric,19,0.00453217049538807,0.0266640394585044,FALSE
sinj,20,0.0338275085693622,0.0380772920422036,FALSE
marija_bistrica,20,0.03736994598132,0.0380772920422036,FALSE
vocin,20,0.0172966916263912,0.0380772920422036,FALSE
nin,20,0.0227158883781441,0.0380772920422036,FALSE
krasno,20,0.0543719818484885,0.0380772920422036,TRUE
ludbreg,20,0.0471348379457201,0.0380772920422036,TRUE
trsat,20,0.0279543064696489,0.0380772920422036,FALSE
aljmas,20,0.097428996814393,0.0380772920422036,TRUE
solin,20,0.0130979818176396,0.0380772920422036,FALSE
vepric,20,0.0295747809709284,0.0380772920422036,FALSE
sinj,21,0.0424836067801389,0.0147408960682347,TRUE
marija_bistrica,21,0.00171400759180872,0.0147408960682347,FALSE
vocin,21,0.00128307002944424,0.0147408960682347,FALSE
nin,21,0.00350640932345118,0.0147408960682347,FALSE
krasno,21,0.00215900650838637,0.0147408960682347,FALSE
ludbreg,21,0.000795392291471232,0.0147408960682347,FALSE
trsat,21,0.0803438454948136,0.0147408960682347,TRUE
aljmas,21,0.00408989768745047,0.0147408960682347,FALSE
solin,21,0.00766769867985987,0.0147408960682347,FALSE
