topic,mean_prop,sd_prop,median_prop,max_prop,flag
1,0.0263443417012939,0.113029291916557,0.00263678294754519,0.972629423425854,OK
2,0.029551631919722,0.0949152123069412,0.0037835029934214,0.896401821087142,OK
3,0.06194504618819,0.150073212545255,0.00876155584254843,0.928939104511952,OK
4,0.0316696979623478,0.0988284481000744,0.00677850059096575,0.916784574135017,OK
5,0.0251904092081556,0.078990230862164,0.00605662239142315,0.881324158349059,OK
6,0.052196745754203,0.156349625202831,0.00493246313822433,0.95424642006983,OK
7,0.0309166257020884,0.109838901292257,0.00198045596747883,0.928118339238868,OK
8,0.0386839103340409,0.137627010758145,0.00100645787672822,0.943077860453228,OK
9,0.0298931532652776,0.116838325389545,0.00114190335346348,0.94126240279753,OK
10,0.0288453248869795,0.11301246693935,0.00322932607921086,0.948331257604734,OK
11,0.0343943997092791,0.127100398677566,0.00238790492666089,0.950381211746323,OK
12,0.0286826865059911,0.0886120823825756,0.00727087893553494,0.915762880494845,OK
13,0.0342198959576496,0.100735291964023,0.0039246203811709,0.908328402952922,OK
14,0.0251471406945215,0.0997644367337302,0.00296905323907665,0.933584352513637,OK
15,0.0431815199736829,0.150716289860615,0.00162895166560952,0.963553483910605,OK
16,0.0354238003072953,0.110818176155287,0.00510350991917816,0.949774659120873,OK
17,0.0466900992638892,0.16054396506179,0.00364020748582973,0.963270549013908,OK
18,0.0338033495949535,0.122164087615657,0.00383348297055818,0.945346583959252,OK
19,0.0259109435008093,0.100878365649869,0.00367508998852474,0.948013638127231,OK
20,0.0386787087343555,0.09166410341313,0.00973289155937023,0.833553697459655,OK
21,0.0238556081996419,0.104826107642449,0.00226175644096169,0.950395608538746,OK
22,0.0228740364498158,0.0732163697012665,0.0067694904972781,0.902707179217828,OK
23,0.0254169632034511,0.117810760822671,0.00131193358267699,0.960989245911806,OK
24,0.0569437279081592,0.167867630040676,0.00134837924990791,0.952140152891485,OK
25,0.0242902501170486,0.114953666343418,0.0022039615001548,0.976746551585676,OK
26,0.0243647258970194,0.0752194597260347,0.00619846801453752,0.860571547983435,OK
27,0.0516792651722645,0.113699462865993,0.011152451509033,0.922092544902565,OK
28,0.0239265279954564,0.0892600027241316,0.00358761889160342,0.889767562748812,OK
29,0.0255529093589817,0.0799225428324721,0.00623948166121593,0.908907483748959,OK
30,0.0197265545334356,0.0603752528785375,0.00542437963484134,0.900582498245533,SMALL
